"Year","Labour productivity and related measures","Industry","VALUE"
2014,"Annual average number of hours worked for all jobs","Service-producing businesses",1604
2014,"Annual average number of hours worked for all jobs","Energy sector",1871
2014,"Annual average number of hours worked for all jobs","Information and communication sector",1592
2014,"Total compensation for all jobs","All industries",1391153
2014,"Total compensation for all jobs","Business sector industries",575402
2014,"Total compensation for all jobs","Goods-producing businesses",326647
2014,"Total compensation for all jobs","Agriculture, forestry, fishing and hunting [BS11]",2561
2014,"Total compensation for all jobs","Mining and oil and gas extraction [BS21]",166383
2014,"Total compensation for all jobs","Utilities [BS22]",32990
2014,"Total compensation for all jobs","Construction [BS23]",118513
2014,"Total compensation for all jobs","Manufacturing [BS3A]",6200
2014,"Total compensation for all jobs","Service-producing businesses",248755
2014,"Total compensation for all jobs","Energy sector",32990
2014,"Total compensation for all jobs","Information and communication sector",3971
2014,"Nominal value added","All industries",2350938
2014,"Nominal value added","Business sector industries",1301858
2014,"Nominal value added","Goods-producing businesses",768948
2014,"Nominal value added","Agriculture, forestry, fishing and hunting [BS11]",3731
2014,"Nominal value added","Mining and oil and gas extraction [BS21]",494706
2014,"Nominal value added","Utilities [BS22]",46258
2014,"Nominal value added","Construction [BS23]",213452
2014,"Nominal value added","Manufacturing [BS3A]",10801
2014,"Nominal value added","Service-producing businesses",532910
2014,"Nominal value added","Energy sector",46258
2014,"Nominal value added","Information and communication sector",47793
2014,"Real value added","All industries",2362564
2014,"Real value added","Business sector industries",1368767
2014,"Real value added","Goods-producing businesses",868072
2014,"Real value added","Agriculture, forestry, fishing and hunting [BS11]",3271
2014,"Real value added","Mining and oil and gas extraction [BS21]",517990
2014,"Real value added","Utilities [BS22]",47179
2014,"Real value added","Construction [BS23]",285090
2014,"Real value added","Manufacturing [BS3A]",10981
2014,"Real value added","Service-producing businesses",504657
2014,"Real value added","Energy sector",47455
2014,"Real value added","Information and communication sector",54656
2014,"Labour productivity","All industries",75.5
2014,"Labour productivity","Business sector industries",83.1
2014,"Labour productivity","Goods-producing businesses",116.4
2014,"Labour productivity","Agriculture, forestry, fishing and hunting [BS11]",30.1
2014,"Labour productivity","Mining and oil and gas extraction [BS21]",146.2
2014,"Labour productivity","Utilities [BS22]",112.1
2014,"Labour productivity","Construction [BS23]",89.3
2014,"Labour productivity","Manufacturing [BS3A]",57.4
2014,"Labour productivity","Service-producing businesses",56
2014,"Labour productivity","Energy sector",112.7
2014,"Labour productivity","Information and communication sector",528.1
2014,"Total compensation per hour worked","All industries",44.48
2014,"Total compensation per hour worked","Business sector industries",34.94
2014,"Total compensation per hour worked","Goods-producing businesses",43.82
2014,"Total compensation per hour worked","Agriculture, forestry, fishing and hunting [BS11]",23.6
2014,"Total compensation per hour worked","Mining and oil and gas extraction [BS21]",46.96
2014,"Total compensation per hour worked","Utilities [BS22]",78.38
2014,"Total compensation per hour worked","Construction [BS23]",37.14
2014,"Total compensation per hour worked","Manufacturing [BS3A]",32.41
2014,"Total compensation per hour worked","Service-producing businesses",27.6
2014,"Total compensation per hour worked","Energy sector",78.38
2014,"Total compensation per hour worked","Information and communication sector",38.37
2014,"Unit labour cost","All industries",0.589
2014,"Unit labour cost","Business sector industries",0.42
2014,"Unit labour cost","Goods-producing businesses",0.376
2014,"Unit labour cost","Agriculture, forestry, fishing and hunting [BS11]",0.783
2014,"Unit labour cost","Mining and oil and gas extraction [BS21]",0.321
2014,"Unit labour cost","Utilities [BS22]",0.699
2014,"Unit labour cost","Construction [BS23]",0.416
2014,"Unit labour cost","Manufacturing [BS3A]",0.565
2014,"Unit labour cost","Service-producing businesses",0.493
2014,"Unit labour cost","Energy sector",0.695
2014,"Unit labour cost","Information and communication sector",0.073
2014,"Unit labour cost in US dollars","All industries",0.533
2014,"Unit labour cost in US dollars","Business sector industries",0.381
2014,"Unit labour cost in US dollars","Goods-producing businesses",0.341
2014,"Unit labour cost in US dollars","Agriculture, forestry, fishing and hunting [BS11]",0.709
2014,"Unit labour cost in US dollars","Mining and oil and gas extraction [BS21]",0.291
2014,"Unit labour cost in US dollars","Utilities [BS22]",0.633
2014,"Unit labour cost in US dollars","Construction [BS23]",0.376
2014,"Unit labour cost in US dollars","Manufacturing [BS3A]",0.511
2014,"Unit labour cost in US dollars","Service-producing businesses",0.446
2014,"Unit labour cost in US dollars","Energy sector",0.629
2014,"Unit labour cost in US dollars","Information and communication sector",0.066
2014,"Labour share","All industries",59.2
2014,"Labour share","Business sector industries",44.2
2014,"Labour share","Goods-producing businesses",42.5
2014,"Labour share","Agriculture, forestry, fishing and hunting [BS11]",68.6
2014,"Labour share","Mining and oil and gas extraction [BS21]",33.6
2014,"Labour share","Utilities [BS22]",71.3
2014,"Labour share","Construction [BS23]",55.5
2014,"Labour share","Manufacturing [BS3A]",57.4
2014,"Labour share","Service-producing businesses",46.7
2014,"Labour share","Energy sector",71.3
2014,"Labour share","Information and communication sector",8.3
2015,"Total number of jobs","All industries",18201035
2015,"Total number of jobs","Business sector industries",14049360
2015,"Total number of jobs","Goods-producing businesses",3678225
2015,"Total number of jobs","Agriculture, forestry, fishing and hunting [BS11]",370625
2015,"Total number of jobs","Mining and oil and gas extraction [BS21]",228140
2015,"Total number of jobs","Utilities [BS22]",103755
2015,"Total number of jobs","Construction [BS23]",1422620
2015,"Total number of jobs","Manufacturing [BS3A]",1553085
2015,"Total number of jobs","Service-producing businesses",10371135
2015,"Total number of jobs","Energy sector",272420
2015,"Total number of jobs","Information and communication sector",519670
2015,"Hours worked for all jobs","All industries",31128542
2015,"Hours worked for all jobs","Business sector industries",24514223.2
2015,"Hours worked for all jobs","Goods-producing businesses",7264191.6
2015,"Hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",749708.3
2015,"Hours worked for all jobs","Mining and oil and gas extraction [BS21]",497059.3
2015,"Hours worked for all jobs","Utilities [BS22]",193204.4
2015,"Hours worked for all jobs","Construction [BS23]",2819950.8
2015,"Hours worked for all jobs","Manufacturing [BS3A]",3004268.8
2015,"Hours worked for all jobs","Service-producing businesses",17250031.6
2015,"Hours worked for all jobs","Energy sector",555601
2015,"Hours worked for all jobs","Information and communication sector",975980.5
2015,"Annual average number of hours worked for all jobs","All industries",1710
2015,"Annual average number of hours worked for all jobs","Business sector industries",1745
2015,"Annual average number of hours worked for all jobs","Goods-producing businesses",1975
2015,"Annual average number of hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",2023
2015,"Annual average number of hours worked for all jobs","Mining and oil and gas extraction [BS21]",2179
2015,"Annual average number of hours worked for all jobs","Utilities [BS22]",1862
2015,"Annual average number of hours worked for all jobs","Construction [BS23]",1982
2015,"Annual average number of hours worked for all jobs","Manufacturing [BS3A]",1934
2015,"Annual average number of hours worked for all jobs","Service-producing businesses",1663
2015,"Annual average number of hours worked for all jobs","Energy sector",2040
2015,"Annual average number of hours worked for all jobs","Information and communication sector",1878
2015,"Total compensation for all jobs","All industries",1079216982
2015,"Total compensation for all jobs","Business sector industries",805073021
2015,"Total compensation for all jobs","Goods-producing businesses",283817082
2015,"Total compensation for all jobs","Agriculture, forestry, fishing and hunting [BS11]",12926343
2015,"Total compensation for all jobs","Mining and oil and gas extraction [BS21]",32543037
2015,"Total compensation for all jobs","Utilities [BS22]",13183892
2015,"Total compensation for all jobs","Construction [BS23]",107238771
2015,"Total compensation for all jobs","Manufacturing [BS3A]",117925039
2015,"Total compensation for all jobs","Service-producing businesses",521255939
2015,"Total compensation for all jobs","Energy sector",39665191
2015,"Total compensation for all jobs","Information and communication sector",43503290
2015,"Nominal value added","All industries",1856814378
2015,"Nominal value added","Business sector industries",1358845037
2015,"Nominal value added","Goods-producing businesses",512855490
2015,"Nominal value added","Agriculture, forestry, fishing and hunting [BS11]",36304565
2015,"Nominal value added","Mining and oil and gas extraction [BS21]",88436007
2015,"Nominal value added","Utilities [BS22]",40292851
2015,"Nominal value added","Construction [BS23]",149302990
2015,"Nominal value added","Manufacturing [BS3A]",198519077
2015,"Nominal value added","Service-producing businesses",845989547
2015,"Nominal value added","Energy sector",126978171
2015,"Nominal value added","Information and communication sector",76023426
2015,"Real value added","All industries",1819020111
2015,"Real value added","Business sector industries",1352302228
2015,"Real value added","Goods-producing businesses",543054789
2015,"Real value added","Agriculture, forestry, fishing and hunting [BS11]",37113124
2015,"Real value added","Mining and oil and gas extraction [BS21]",137783035
2015,"Real value added","Utilities [BS22]",37368777
2015,"Real value added","Construction [BS23]",141175699
2015,"Real value added","Manufacturing [BS3A]",188944053
2015,"Real value added","Service-producing businesses",808915138
2015,"Real value added","Energy sector",164544000
2015,"Real value added","Information and communication sector",75157476
2015,"Labour productivity","All industries",58.4
2015,"Labour productivity","Business sector industries",55.2
2015,"Labour productivity","Goods-producing businesses",74.8
2015,"Labour productivity","Agriculture, forestry, fishing and hunting [BS11]",49.5
2015,"Labour productivity","Mining and oil and gas extraction [BS21]",277.2
2015,"Labour productivity","Utilities [BS22]",193.4
2015,"Labour productivity","Construction [BS23]",50.1
2015,"Labour productivity","Manufacturing [BS3A]",62.9
2015,"Labour productivity","Service-producing businesses",46.9
2015,"Labour productivity","Energy sector",296.2
2015,"Labour productivity","Information and communication sector",77
2015,"Total compensation per hour worked","All industries",34.67
2015,"Total compensation per hour worked","Business sector industries",32.84
2015,"Total compensation per hour worked","Goods-producing businesses",39.07
2015,"Total compensation per hour worked","Agriculture, forestry, fishing and hunting [BS11]",17.24
2015,"Total compensation per hour worked","Mining and oil and gas extraction [BS21]",65.47
2015,"Total compensation per hour worked","Utilities [BS22]",68.24
2015,"Total compensation per hour worked","Construction [BS23]",38.03
2015,"Total compensation per hour worked","Manufacturing [BS3A]",39.25
2015,"Total compensation per hour worked","Service-producing businesses",30.22
2015,"Total compensation per hour worked","Energy sector",71.39
2015,"Total compensation per hour worked","Information and communication sector",44.57
2015,"Unit labour cost","All industries",0.593
2015,"Unit labour cost","Business sector industries",0.595
2015,"Unit labour cost","Goods-producing businesses",0.523
2015,"Unit labour cost","Agriculture, forestry, fishing and hunting [BS11]",0.348
2015,"Unit labour cost","Mining and oil and gas extraction [BS21]",0.236
2015,"Unit labour cost","Utilities [BS22]",0.353
2015,"Unit labour cost","Construction [BS23]",0.76
2015,"Unit labour cost","Manufacturing [BS3A]",0.624
2015,"Unit labour cost","Service-producing businesses",0.644
2015,"Unit labour cost","Energy sector",0.241
2015,"Unit labour cost","Information and communication sector",0.579
2015,"Unit labour cost in US dollars","All industries",0.465
2015,"Unit labour cost in US dollars","Business sector industries",0.466
2015,"Unit labour cost in US dollars","Goods-producing businesses",0.409
2015,"Unit labour cost in US dollars","Agriculture, forestry, fishing and hunting [BS11]",0.273
2015,"Unit labour cost in US dollars","Mining and oil and gas extraction [BS21]",0.185
2015,"Unit labour cost in US dollars","Utilities [BS22]",0.276
2015,"Unit labour cost in US dollars","Construction [BS23]",0.595
2015,"Unit labour cost in US dollars","Manufacturing [BS3A]",0.489
2015,"Unit labour cost in US dollars","Service-producing businesses",0.505
2015,"Unit labour cost in US dollars","Energy sector",0.189
2015,"Unit labour cost in US dollars","Information and communication sector",0.453
2015,"Labour share","All industries",58.1
2015,"Labour share","Business sector industries",59.2
2015,"Labour share","Goods-producing businesses",55.3
2015,"Labour share","Agriculture, forestry, fishing and hunting [BS11]",35.6
2015,"Labour share","Mining and oil and gas extraction [BS21]",36.8
2015,"Labour share","Utilities [BS22]",32.7
2015,"Labour share","Construction [BS23]",71.8
2015,"Labour share","Manufacturing [BS3A]",59.4
2015,"Labour share","Service-producing businesses",61.6
2015,"Labour share","Energy sector",31.2
2015,"Labour share","Information and communication sector",57.2
2015,"Total number of jobs","All industries",233425
2015,"Total number of jobs","Business sector industries",164710
2015,"Total number of jobs","Goods-producing businesses",54890
2015,"Total number of jobs","Agriculture, forestry, fishing and hunting [BS11]",3505
2015,"Total number of jobs","Mining and oil and gas extraction [BS21]",6565
2015,"Total number of jobs","Utilities [BS22]",2360
2015,"Total number of jobs","Construction [BS23]",32810
2015,"Total number of jobs","Manufacturing [BS3A]",9650
2015,"Total number of jobs","Service-producing businesses",109820
2015,"Total number of jobs","Energy sector",6705
2015,"Total number of jobs","Information and communication sector",2600
2015,"Hours worked for all jobs","All industries",425988.8
2015,"Hours worked for all jobs","Business sector industries",310709.8
2015,"Hours worked for all jobs","Goods-producing businesses",124382.9
2015,"Hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",7955.9
2015,"Hours worked for all jobs","Mining and oil and gas extraction [BS21]",15814.6
2015,"Hours worked for all jobs","Utilities [BS22]",4727.8
2015,"Hours worked for all jobs","Construction [BS23]",76360.5
2015,"Hours worked for all jobs","Manufacturing [BS3A]",19524.1
2015,"Hours worked for all jobs","Service-producing businesses",186326.9
2015,"Hours worked for all jobs","Energy sector",15227.9
2015,"Hours worked for all jobs","Information and communication sector",4841.5
2015,"Annual average number of hours worked for all jobs","All industries",1825
2015,"Annual average number of hours worked for all jobs","Business sector industries",1886
2015,"Annual average number of hours worked for all jobs","Goods-producing businesses",2266
2015,"Annual average number of hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",2270
2015,"Annual average number of hours worked for all jobs","Mining and oil and gas extraction [BS21]",2409
2015,"Annual average number of hours worked for all jobs","Utilities [BS22]",2003
2015,"Annual average number of hours worked for all jobs","Construction [BS23]",2327
2015,"Annual average number of hours worked for all jobs","Manufacturing [BS3A]",2023
2015,"Annual average number of hours worked for all jobs","Service-producing businesses",1697
2015,"Annual average number of hours worked for all jobs","Energy sector",2271
2015,"Annual average number of hours worked for all jobs","Information and communication sector",1862
2015,"Total compensation for all jobs","All industries",15423989
2015,"Total compensation for all jobs","Business sector industries",10524396
2015,"Total compensation for all jobs","Goods-producing businesses",5079473
2015,"Total compensation for all jobs","Agriculture, forestry, fishing and hunting [BS11]",226180
2015,"Total compensation for all jobs","Mining and oil and gas extraction [BS21]",981084
2015,"Total compensation for all jobs","Utilities [BS22]",266807
2015,"Total compensation for all jobs","Construction [BS23]",2829614
2015,"Total compensation for all jobs","Manufacturing [BS3A]",775788
2015,"Total compensation for all jobs","Service-producing businesses",5444923
2015,"Total compensation for all jobs","Energy sector",961328
2015,"Total compensation for all jobs","Information and communication sector",239025
2015,"Nominal value added","All industries",28924427
2015,"Nominal value added","Business sector industries",20671509
2015,"Nominal value added","Goods-producing businesses",12064481
2015,"Nominal value added","Agriculture, forestry, fishing and hunting [BS11]",596867
2015,"Nominal value added","Mining and oil and gas extraction [BS21]",5329032
2015,"Nominal value added","Utilities [BS22]",558736
2015,"Nominal value added","Construction [BS23]",4253736
2015,"Nominal value added","Manufacturing [BS3A]",1326110
2015,"Nominal value added","Service-producing businesses",8607028
2015,"Nominal value added","Energy sector",4545151
2015,"Nominal value added","Information and communication sector",673532
2015,"Real value added","All industries",30805950
2015,"Real value added","Business sector industries",23064371
2015,"Real value added","Goods-producing businesses",14899454
2015,"Real value added","Agriculture, forestry, fishing and hunting [BS11]",362541
2015,"Real value added","Mining and oil and gas extraction [BS21]",9252917
2015,"Real value added","Utilities [BS22]",566728
2015,"Real value added","Construction [BS23]",3610786
2015,"Real value added","Manufacturing [BS3A]",891599
2015,"Real value added","Service-producing businesses",8158956
2015,"Real value added","Energy sector",7336858
2015,"Real value added","Information and communication sector",742298
2015,"Labour productivity","All industries",72.3
2015,"Labour productivity","Business sector industries",74.2
2015,"Labour productivity","Goods-producing businesses",119.8
2015,"Labour productivity","Agriculture, forestry, fishing and hunting [BS11]",45.6
2015,"Labour productivity","Mining and oil and gas extraction [BS21]",585.1
2015,"Labour productivity","Utilities [BS22]",119.9
2015,"Labour productivity","Construction [BS23]",47.3
2015,"Labour productivity","Manufacturing [BS3A]",45.7
2015,"Labour productivity","Service-producing businesses",43.8
2015,"Labour productivity","Energy sector",481.8
2015,"Labour productivity","Information and communication sector",153.3
2015,"Total compensation per hour worked","All industries",36.21
2015,"Total compensation per hour worked","Business sector industries",33.87
2015,"Total compensation per hour worked","Goods-producing businesses",40.84
2015,"Total compensation per hour worked","Agriculture, forestry, fishing and hunting [BS11]",28.43
2015,"Total compensation per hour worked","Mining and oil and gas extraction [BS21]",62.04
2015,"Total compensation per hour worked","Utilities [BS22]",56.43
2015,"Total compensation per hour worked","Construction [BS23]",37.06
2015,"Total compensation per hour worked","Manufacturing [BS3A]",39.73
2015,"Total compensation per hour worked","Service-producing businesses",29.22
2015,"Total compensation per hour worked","Energy sector",63.13
2015,"Total compensation per hour worked","Information and communication sector",49.37
2015,"Unit labour cost","All industries",0.501
2015,"Unit labour cost","Business sector industries",0.456
2015,"Unit labour cost","Goods-producing businesses",0.341
2015,"Unit labour cost","Agriculture, forestry, fishing and hunting [BS11]",0.624
2015,"Unit labour cost","Mining and oil and gas extraction [BS21]",0.106
2015,"Unit labour cost","Utilities [BS22]",0.471
2015,"Unit labour cost","Construction [BS23]",0.784
2015,"Unit labour cost","Manufacturing [BS3A]",0.87
2015,"Unit labour cost","Service-producing businesses",0.667
2015,"Unit labour cost","Energy sector",0.131
2015,"Unit labour cost","Information and communication sector",0.322
2015,"Unit labour cost in US dollars","All industries",0.392
2015,"Unit labour cost in US dollars","Business sector industries",0.357
2015,"Unit labour cost in US dollars","Goods-producing businesses",0.267
2015,"Unit labour cost in US dollars","Agriculture, forestry, fishing and hunting [BS11]",0.489
2015,"Unit labour cost in US dollars","Mining and oil and gas extraction [BS21]",0.083
2015,"Unit labour cost in US dollars","Utilities [BS22]",0.369
2015,"Unit labour cost in US dollars","Construction [BS23]",0.614
2015,"Unit labour cost in US dollars","Manufacturing [BS3A]",0.681
2015,"Unit labour cost in US dollars","Service-producing businesses",0.523
2015,"Unit labour cost in US dollars","Energy sector",0.103
2015,"Unit labour cost in US dollars","Information and communication sector",0.252
2015,"Labour share","All industries",53.3
2015,"Labour share","Business sector industries",50.9
2015,"Labour share","Goods-producing businesses",42.1
2015,"Labour share","Agriculture, forestry, fishing and hunting [BS11]",37.9
2015,"Labour share","Mining and oil and gas extraction [BS21]",18.4
2015,"Labour share","Utilities [BS22]",47.8
2015,"Labour share","Construction [BS23]",66.5
2015,"Labour share","Manufacturing [BS3A]",58.5
2015,"Labour share","Service-producing businesses",63.3
2015,"Labour share","Energy sector",21.2
2015,"Labour share","Information and communication sector",35.5
2015,"Total number of jobs","All industries",72070
2015,"Total number of jobs","Business sector industries",50265
2015,"Total number of jobs","Goods-producing businesses",15180
2015,"Total number of jobs","Agriculture, forestry, fishing and hunting [BS11]",4740
2015,"Total number of jobs","Mining and oil and gas extraction [BS21]",45
2015,"Total number of jobs","Utilities [BS22]",285
2015,"Total number of jobs","Construction [BS23]",4485
2015,"Total number of jobs","Manufacturing [BS3A]",5625
2015,"Total number of jobs","Service-producing businesses",35085
2015,"Total number of jobs","Energy sector",250
2015,"Total number of jobs","Information and communication sector",1115
2015,"Hours worked for all jobs","All industries",124811.9
2015,"Hours worked for all jobs","Business sector industries",89415.5
2015,"Hours worked for all jobs","Goods-producing businesses",32041.7
2015,"Hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",10882.6
2015,"Hours worked for all jobs","Mining and oil and gas extraction [BS21]",90.8
2015,"Hours worked for all jobs","Utilities [BS22]",549
2015,"Hours worked for all jobs","Construction [BS23]",9365.9
2015,"Hours worked for all jobs","Manufacturing [BS3A]",11153.4
2015,"Hours worked for all jobs","Service-producing businesses",57373.8
2015,"Hours worked for all jobs","Energy sector",487.3
2015,"Hours worked for all jobs","Information and communication sector",2062.1
2015,"Annual average number of hours worked for all jobs","All industries",1732
2015,"Annual average number of hours worked for all jobs","Business sector industries",1779
2015,"Annual average number of hours worked for all jobs","Goods-producing businesses",2111
2015,"Annual average number of hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",2296
2015,"Annual average number of hours worked for all jobs","Mining and oil and gas extraction [BS21]",2018
2015,"Annual average number of hours worked for all jobs","Utilities [BS22]",1926
2015,"Annual average number of hours worked for all jobs","Construction [BS23]",2088
2015,"Annual average number of hours worked for all jobs","Manufacturing [BS3A]",1983
2015,"Annual average number of hours worked for all jobs","Service-producing businesses",1635
2015,"Annual average number of hours worked for all jobs","Energy sector",1949
2015,"Annual average number of hours worked for all jobs","Information and communication sector",1849
2015,"Total compensation for all jobs","All industries",3247968
2015,"Total compensation for all jobs","Business sector industries",1906696
2015,"Total compensation for all jobs","Goods-producing businesses",697994
2015,"Total compensation for all jobs","Agriculture, forestry, fishing and hunting [BS11]",160994
2015,"Total compensation for all jobs","Mining and oil and gas extraction [BS21]",2519
2015,"Total compensation for all jobs","Utilities [BS22]",21288
2015,"Total compensation for all jobs","Construction [BS23]",219877
2015,"Total compensation for all jobs","Manufacturing [BS3A]",293316
2015,"Total compensation for all jobs","Service-producing businesses",1208702
2015,"Total compensation for all jobs","Energy sector",19690
2015,"Total compensation for all jobs","Information and communication sector",67346
2015,"Nominal value added","All industries",5551791
2015,"Nominal value added","Business sector industries",3370610
2015,"Nominal value added","Goods-producing businesses",1283597
2015,"Nominal value added","Agriculture, forestry, fishing and hunting [BS11]",358714
2015,"Nominal value added","Mining and oil and gas extraction [BS21]",3359
2015,"Nominal value added","Utilities [BS22]",68006
2015,"Nominal value added","Construction [BS23]",287790
2015,"Nominal value added","Manufacturing [BS3A]",565728
2015,"Nominal value added","Service-producing businesses",2087013
2015,"Nominal value added","Energy sector",65756
2015,"Nominal value added","Information and communication sector",194161
2015,"Real value added","All industries",5280750
2015,"Real value added","Business sector industries",3173359
2015,"Real value added","Goods-producing businesses",1187163
2015,"Real value added","Agriculture, forestry, fishing and hunting [BS11]",335545
2015,"Real value added","Mining and oil and gas extraction [BS21]",1815
2015,"Real value added","Utilities [BS22]",69404
2015,"Real value added","Construction [BS23]",261526
2015,"Real value added","Manufacturing [BS3A]",517507
2015,"Real value added","Service-producing businesses",1985758
2015,"Real value added","Energy sector",67603
2015,"Real value added","Information and communication sector",186667
2015,"Labour productivity","All industries",42.3
2015,"Labour productivity","Business sector industries",35.5
2015,"Labour productivity","Goods-producing businesses",37.1
2015,"Labour productivity","Agriculture, forestry, fishing and hunting [BS11]",30.8
2015,"Labour productivity","Mining and oil and gas extraction [BS21]",20
2015,"Labour productivity","Utilities [BS22]",126.4
2015,"Labour productivity","Construction [BS23]",27.9
2015,"Labour productivity","Manufacturing [BS3A]",46.4
2015,"Labour productivity","Service-producing businesses",34.6
2015,"Labour productivity","Energy sector",138.7
2015,"Labour productivity","Information and communication sector",90.5
2015,"Total compensation per hour worked","All industries",26.02
2015,"Total compensation per hour worked","Business sector industries",21.32
2015,"Total compensation per hour worked","Goods-producing businesses",21.78
2015,"Total compensation per hour worked","Agriculture, forestry, fishing and hunting [BS11]",14.79
2015,"Total compensation per hour worked","Mining and oil and gas extraction [BS21]",27.74
2015,"Total compensation per hour worked","Utilities [BS22]",38.78
2015,"Total compensation per hour worked","Construction [BS23]",23.48
2015,"Total compensation per hour worked","Manufacturing [BS3A]",26.3
2015,"Total compensation per hour worked","Service-producing businesses",21.07
2015,"Total compensation per hour worked","Energy sector",40.41
2015,"Total compensation per hour worked","Information and communication sector",32.66
2015,"Unit labour cost","All industries",0.615
2015,"Unit labour cost","Business sector industries",0.601
2015,"Unit labour cost","Goods-producing businesses",0.588
2015,"Unit labour cost","Agriculture, forestry, fishing and hunting [BS11]",0.48
2015,"Unit labour cost","Mining and oil and gas extraction [BS21]",1.388
2015,"Unit labour cost","Utilities [BS22]",0.307
2015,"Unit labour cost","Construction [BS23]",0.841
2015,"Unit labour cost","Manufacturing [BS3A]",0.567
2015,"Unit labour cost","Service-producing businesses",0.609
2015,"Unit labour cost","Energy sector",0.291
2015,"Unit labour cost","Information and communication sector",0.361
2015,"Unit labour cost in US dollars","All industries",0.482
2015,"Unit labour cost in US dollars","Business sector industries",0.471
2015,"Unit labour cost in US dollars","Goods-producing businesses",0.46
2015,"Unit labour cost in US dollars","Agriculture, forestry, fishing and hunting [BS11]",0.376
2015,"Unit labour cost in US dollars","Mining and oil and gas extraction [BS21]",1.087
2015,"Unit labour cost in US dollars","Utilities [BS22]",0.24
2015,"Unit labour cost in US dollars","Construction [BS23]",0.658
2015,"Unit labour cost in US dollars","Manufacturing [BS3A]",0.444
2015,"Unit labour cost in US dollars","Service-producing businesses",0.477
2015,"Unit labour cost in US dollars","Energy sector",0.228
2015,"Unit labour cost in US dollars","Information and communication sector",0.283
2015,"Labour share","All industries",58.5
2015,"Labour share","Business sector industries",56.6
2015,"Labour share","Goods-producing businesses",54.4
2015,"Labour share","Agriculture, forestry, fishing and hunting [BS11]",44.9
2015,"Labour share","Mining and oil and gas extraction [BS21]",75
2015,"Labour share","Utilities [BS22]",31.3
2015,"Labour share","Construction [BS23]",76.4
2015,"Labour share","Manufacturing [BS3A]",51.8
2015,"Labour share","Service-producing businesses",57.9
2015,"Labour share","Energy sector",29.9
2015,"Labour share","Information and communication sector",34.7
2015,"Total number of jobs","All industries",449555
2015,"Total number of jobs","Business sector industries",309695
2015,"Total number of jobs","Goods-producing businesses",73530
2015,"Total number of jobs","Agriculture, forestry, fishing and hunting [BS11]",12265
2015,"Total number of jobs","Mining and oil and gas extraction [BS21]",1220
2015,"Total number of jobs","Utilities [BS22]",1775
2015,"Total number of jobs","Construction [BS23]",28295
2015,"Total number of jobs","Manufacturing [BS3A]",29975
2015,"Total number of jobs","Service-producing businesses",236165
2015,"Total number of jobs","Energy sector",2275
2015,"Total number of jobs","Information and communication sector",10105
2015,"Hours worked for all jobs","All industries",774825.1
2015,"Hours worked for all jobs","Business sector industries",542970.9
2015,"Hours worked for all jobs","Goods-producing businesses",147895.8
2015,"Hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",26461.3
2015,"Hours worked for all jobs","Mining and oil and gas extraction [BS21]",2967.3
2015,"Hours worked for all jobs","Utilities [BS22]",3704.3
2015,"Hours worked for all jobs","Construction [BS23]",57060.2
2015,"Hours worked for all jobs","Manufacturing [BS3A]",57702.7
2015,"Hours worked for all jobs","Service-producing businesses",395075.1
2015,"Hours worked for all jobs","Energy sector",5002.1
2015,"Hours worked for all jobs","Information and communication sector",19168
2015,"Annual average number of hours worked for all jobs","All industries",1724
2015,"Annual average number of hours worked for all jobs","Business sector industries",1753
2015,"Annual average number of hours worked for all jobs","Goods-producing businesses",2011
2015,"Annual average number of hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",2157
2015,"Annual average number of hours worked for all jobs","Mining and oil and gas extraction [BS21]",2432
2015,"Annual average number of hours worked for all jobs","Utilities [BS22]",2087
2015,"Annual average number of hours worked for all jobs","Construction [BS23]",2017
2015,"Annual average number of hours worked for all jobs","Manufacturing [BS3A]",1925
2015,"Annual average number of hours worked for all jobs","Service-producing businesses",1673
2015,"Annual average number of hours worked for all jobs","Energy sector",2199
2015,"Annual average number of hours worked for all jobs","Information and communication sector",1897
2015,"Total compensation for all jobs","All industries",22774858
2015,"Total compensation for all jobs","Business sector industries",14208306
2015,"Total compensation for all jobs","Goods-producing businesses",4435321
2015,"Total compensation for all jobs","Agriculture, forestry, fishing and hunting [BS11]",559469
2015,"Total compensation for all jobs","Mining and oil and gas extraction [BS21]",140223
2015,"Total compensation for all jobs","Utilities [BS22]",218507
2015,"Total compensation for all jobs","Construction [BS23]",1603963
2015,"Total compensation for all jobs","Manufacturing [BS3A]",1913159
2015,"Total compensation for all jobs","Service-producing businesses",9772985
2015,"Total compensation for all jobs","Energy sector",297746
2015,"Total compensation for all jobs","Information and communication sector",766032
2015,"Nominal value added","All industries",37028125
2015,"Nominal value added","Business sector industries",22162205
2015,"Nominal value added","Goods-producing businesses",6898964
2015,"Nominal value added","Agriculture, forestry, fishing and hunting [BS11]",1125970
2015,"Nominal value added","Mining and oil and gas extraction [BS21]",260737
2015,"Nominal value added","Utilities [BS22]",753677
